mining_company,Environmental,Social,Governance,total
Enviro Processing,1,0,1,2
ERG,0,1,1,2
EMR; Vedanta Mining Resources,0,1,1,2
Dashun Industry Company Limited,1,0,1,2
Dangote Quarries (Zambia) Limited,1,1,0,2
Dangote Cement Zambia,0,1,1,2
Dan Reuben Goldmine,1,1,0,2
Copperzone Resources Ltd.,0,0,2,2
Column Coal Mine Industries Limited,0,1,1,2
China Molybdenum,1,1,0,2
Colum Coal Mine Industries Limited,0,1,1,2
Collumn Coal Mine,0,1,1,2
China Nonferrous metal mining,0,1,1,2
China Nonferrous Mining Corporation Luanshya Copper Mine,0,1,1,2
China Nonferrous Mining Corporation Limited,0,1,1,2
China Nonferrous Metals Company,0,1,1,2
China Nonferrous Metal Company Luanshya Copper Mine,0,1,1,2
China Non-ferrous Metal Company Luanshya Copper Mine (CLM),0,1,1,2
China Non-ferrous Metal Company,0,1,1,2
China Non-Ferrous Mining Corporation,2,0,0,2
China Non-Ferrous Metal Mining (Group) Co.,0,1,1,2
FQM Trident Mining Limited,0,1,1,2
FQMO-Mining Division,0,1,1,2
Ferro Alloy Corporation,1,0,1,2
First Quantum Kansanshi Mining Plc,0,1,1,2
Getech Group plc,0,1,1,2
Gemfields Plc,0,1,1,2
Gemfields Group Limited,0,0,2,2
Gemcanton Investments Holdings,0,1,1,2
Gemcanton Investment Holdings Limited,0,1,1,2
Gemcanton Investment Holdings,0,1,1,2
Gemcanton,0,1,1,2
GemCanton Investments Holding,0,1,1,2
Galileo Resources; Siege Mining,0,1,1,2
Galileo Resources plc,1,0,1,2
First Quantum; Vedanta,0,1,1,2
First Quantum; Gemfields,1,1,0,2
"First Quantum, Glencore",0,1,1,2
First Quantum Mining,0,1,1,2
First Quantum Minerals; Konkola Copper Mines,0,1,1,2
First Quantum Minerals; Kansanshi Mining; Kalumbila Minerals; First Quantum Mining and Operations; Konkola Copper Mines; Lumwana Mining Company; Mopani Copper Mines,0,1,1,2
First Quantum Minerals; FQM Trident Limited; Barrick Lumwana,0,1,1,2
First Quantum Minerals; Barrick; Vedanta; Glencore; ZCCM,0,1,1,2
First Quantum Minerals; Barrick Gold; ZCCM-IH; Glencore,0,1,1,2
First Quantum Minerals; Barrick Gold Corp; Glencore; Vedanta Resources,0,1,1,2
First Quantum Minerals; Anglo American; Arc Minerals; KoBold Metals; Vedanta; Zambia Consolidated Copper Mines; Zijin Mining; Norinco Group; Sibanye-Stillwater,1,0,1,2
"First Quantum Minerals, Barrick Gold",0,0,2,2
First Quantum Minerals Limited; Mopani Copper Mines; Kalumbila; KCM,0,1,1,2
China Non Ferrous Metal Company (CNMC),0,1,1,2
China Luanshya Mine,1,1,0,2
Glencore Plc,0,1,1,2
Anglo American; First Quantum Minerals; Glencore; Vedanta Resources,0,1,1,2
Barrick Gold Corp; First Quantum Minerals; China Nonferrous Mining Corp; Vedanta Resources Ltd.; International Resources Holding; KoBold Metals,0,1,1,2
Barrick Gold Corp.; First Quantum Minerals Ltd.,1,1,0,2
Barrick Gold Company,0,1,1,2
BYD,1,1,0,2
BT Industrial,1,1,0,2
Australian Mining Company Zambia Limited,1,0,1,2
Association of Women in Mining,0,1,1,2
Ashco Diamonds Limited,0,1,1,2
Arc Minerals; Anglo American; Unico Minerals,0,1,1,2
Arc Minerals; Anglo American,0,1,1,2
Anglo-American Corporation; Rhodesian Select Trust; British South Africa Company,0,1,1,2
Anglo American; Arc Minerals,0,2,0,2
China Jiangxi Corporation,0,1,1,2
"Anglo American, Antofagasta Plc, BHP, Codelco, First Quantum Minerals Ltd",1,0,1,2
Anglo American SA,0,1,1,2
Anglo American Corporation; Roan Selection Trust,0,1,1,2
Anglo American Corporation; Rhodesian Selection Trust; Rhodesian Anglo American,0,1,1,2
Anglo American Corporation and American Metal Climax,0,1,1,2
Algamented Mineral group,0,1,1,2
Alecto Minerals,1,0,1,2
African Potash,0,2,0,2
AfNat Resources Ltd.,0,1,1,2
Acacia Mining,0,0,2,2
ARM; Vale; Zambian Consolidated Copper Mines Investment Holdings,1,1,0,2
Barrick Gold; First Quantum; Glencore; Vedanta,0,1,1,2
Barrick Lumwana,0,1,1,2
Barrick Lumwana Mines,1,0,1,2
Barrick Lumwana Mining Company,0,1,1,2
Chibuluma Mines Plc,0,1,1,2
Chibuluma Copper Mines,0,1,1,2
Chen Di Doing,1,1,0,2
Chapamo Minerals Processing Limited,0,1,1,2
Chapamo Mineral Resources,0,1,1,2
Chapamo,0,1,1,2
Changfa Mineral Resources,0,1,1,2
Changesheng Mining Equipment Company Limited,0,1,1,2
Chambishi Metals,0,1,1,2
Chambeshi Minerals,0,1,1,2
Central African Cement Company Limited,1,1,0,2
Castillo Copper,1,1,0,2
Cape Lambert,1,0,1,2
CNMC and ZCCM-IH,0,1,1,2
CMI,0,1,1,2
Broken Hill Development Company,0,1,1,2
Black Rhino,1,1,0,2
Black Mountain Empowerment,0,1,1,2
Bisma Investment Limited,0,1,1,2
Big Mountain Mining,0,1,1,2
Bayarn Company,0,1,1,2
Barrick; FQM,0,1,1,2
"Barrick, Jubilee Metals, Tertiary Minerals",0,1,1,2
Glencore International AG,0,1,1,2
first Quantum,0,1,1,2
KoBold Metals; Vedanta; First Quantum,0,1,1,2
International Resources Holdings; Vedanta,0,1,1,2
IHR,0,1,1,2
GoviEx,0,2,0,2
Goviex,0,0,2,2
KoBold Metals; EMR Capital; ZCCM-IH,0,1,1,2
KONKOLA Copper Mines Plc,0,1,1,2
International Resources; Barrick Mining,0,1,1,2
Kansanshi Mine Plc; Mopani Copper Mines; Konkola Copper Mines; Lubambe Copper Mines; NFCA-Chambishi; First Quantum Minerals Group,0,1,1,2
Grand Resources LTD,1,0,1,2
Jubilee Metals; First Quantum Minerals,1,1,0,2
Jagoda Gems; Jewel of Africa; Mutinta Jewellery; Mwezi Blu; Virtu Gem,0,1,1,2
Grizzly Mining Limited; Kagem Mining Limited; Gemfields,0,1,1,2
JOMEC,0,1,1,2
"Japan Oil, Gas and Metals National Corporation",0,2,0,2
Kagem; Gemcanton; Chibuluma,0,1,1,2
Kansanshi mine plc,0,1,1,2
Handa Resources Limited,0,1,1,2
Kansanshi mining plc; Lumwana Company limited,0,1,1,2
Kagem Minerals,0,1,1,2
Hitachi Construction Machinery Zambia,1,1,0,2
KoBold Metals Co,1,0,1,2
Industrial Development Corp,0,1,1,2
Hu-Cheng Mining LTD,1,1,0,2
Good lock Zambia Limited,0,1,1,2
Huan-cheng Mining Limited,0,1,1,2
Konkola Copper Mines; Vedanta; ERG; Glencore,0,1,1,2
Ivanhoe Mines and Zijin Mining,1,1,0,2
Konkola Copper mines,0,1,1,2
Konokola Copper Mines plc,0,1,1,2
"KCM, Mopani",0,1,1,2
Glencore; First Quantum Minerals,0,1,1,2
KONKOLA Copper Mines,1,1,0,2
Konkola Copper Mines; Barrick Gold,1,0,1,2
Glencore; First Quantum; Vedanta; ZCCM-IH; Carlisa Investments; IRH,0,1,1,2
Ivanhoe; Gécamines; Kobaloni Energy,0,1,1,2
Jinfa Steel Company,0,1,1,2
JOGMEC,0,2,0,2
Kagem Mining Ltd,0,1,1,2
Glencore Plc; Vedanta Ltd.; First Quantum Minerals Ltd.; Barrick Gold Corp.,0,1,1,2
KOBOLD Metals,0,2,0,2
Kalumbila Minerals Ltd,0,1,1,2
Konkola Copper Mine PLC,0,1,1,2
"Glencore, First Quantum Minerals",0,1,1,2
BeMetals,0,0,1,1
ZCCM INVESTMENTS HOLDINGS PLC,0,0,1,1
MBI Group,0,1,0,1
Barrick Mining Corp,0,0,1,1
ZCCM Investments Holding,0,0,1,1
Baseli Balisel resources; Sonangol,1,0,0,1
ZCCM Investments Holdings PLC; Delta Mining Limited; Vedanta Resources; Glencore,1,0,0,1
Barrick; First Quantum; Mopani Copper Mines; Glencore,0,1,0,1
MOPANI Copper Mines,0,1,0,1
Ndola Lime Company Limited,0,1,0,1
KPZ International Limited,0,1,0,1
Beach Energy,0,0,1,1
Kagem Limited,0,1,0,1
Metalex,0,1,0,1
KALUMBILA Minerals Limited,0,1,0,1
Mercuria,0,0,1,1
Maxtech Ventures Inc.,0,1,0,1
Maxtech Ventures Inc,1,0,0,1
Castillo Copper Ltd,0,1,0,1
Castillo Copper Limited,0,1,0,1
Marula Mining,0,0,1,1
Malabwe Mines Ltd,0,1,0,1
CMCC,0,1,0,1
CGCZ,0,1,0,1
Vendata Resources,0,0,1,1
Vendenta,0,0,1,1
KPZ,0,0,1,1
Vendetta,0,0,1,1
Virtu Gem,0,0,1,1
Weatherly International,1,0,0,1
Xtract Resources PLC,1,0,0,1
Maamba Collieries Ltd,0,0,1,1
Xtract Resources and Cooperlemon Consultancy,0,1,0,1
Binani Group,0,1,0,1
ZAMKOR,0,0,1,1
Binani,0,1,0,1
Luwi Investments,0,1,0,1
BMR Group; Galileo Resources; Jubilee Metals Group; Bushbuck Resources,0,0,1,1
Barrick Gold; Vedanta Resources; First Quantum Minerals; International Holding Company; Glencore,0,1,0,1
